Frame,Visibility,X,Y
0,0,-1,-1
1,1,1068,536
2,1,1068,532
3,1,1068,525
4,1,1068,513
5,1,1065,506
6,1,1065,502
7,1,1065,495
8,1,1065,487
9,1,1065,476
10,1,1065,476
11,1,1065,468
12,1,1065,465
13,1,1065,461
14,1,1065,457
15,1,1065,453
16,1,1065,450
17,1,1065,446
18,1,1065,442
19,1,1065,442
20,1,1065,442
21,1,1065,442
22,1,1065,442
23,1,1065,442
24,1,1065,442
25,0,-1,-1
26,0,-1,-1
27,0,-1,-1
28,0,-1,-1
29,1,1065,468
30,1,1068,461
31,1,1065,453
32,1,1065,446
33,1,1061,442
34,1,1057,438
35,1,1057,435
36,1,1046,427
37,1,1042,423
38,1,1038,420
39,1,1031,412
40,1,1027,412
41,1,1023,408
42,1,1020,405
43,1,1012,401
44,1,1005,401
45,1,997,405
46,1,990,405
47,1,982,408
48,1,975,408
49,1,971,412
50,1,963,416
51,1,956,420
52,1,945,423
53,1,937,431
54,1,922,442
55,1,915,450
56,1,900,465
57,1,892,472
58,1,877,487
59,1,870,498
60,1,858,510
61,1,847,528
62,1,836,551
63,0,-1,-1
64,0,-1,-1
65,0,-1,-1
66,0,-1,-1
67,0,-1,-1
68,0,-1,-1
69,1,768,588
70,1,768,562
71,1,776,536
72,1,776,510
73,1,783,480
74,1,795,453
75,1,795,438
76,1,798,420
77,1,806,401
78,1,810,390
79,1,813,375
80,1,817,363
81,1,825,352
82,1,828,341
83,1,832,330
84,1,840,322
85,1,843,318
86,1,851,315
87,1,855,315
88,1,858,307
89,1,866,307
90,1,870,300
91,1,873,303
92,1,877,307
93,1,881,311
94,1,885,315
95,1,892,318
96,1,896,322
97,1,903,330
98,1,907,337
99,1,911,348
100,1,911,356
101,1,915,367
102,1,918,375
103,1,922,386
104,1,926,397
105,1,930,408
106,1,937,420
107,1,941,435
108,1,945,457
109,1,948,461
110,1,948,468
111,1,948,472
112,1,948,483
113,1,948,483
114,1,952,495
115,0,-1,-1
116,0,-1,-1
117,1,937,435
118,1,933,416
119,1,926,401
120,1,922,390
121,1,918,375
122,1,915,367
123,1,911,356
124,1,907,341
125,1,903,333
126,1,900,326
127,1,892,322
128,1,888,315
129,1,881,311
130,1,881,303
131,1,877,300
132,1,873,296
133,1,866,292
134,1,862,288
135,1,855,292
136,1,851,292
137,1,851,296
138,1,843,300
139,1,840,303
140,1,836,307
141,1,1162,603
142,1,1166,607
143,1,821,322
144,1,817,326
145,1,813,337
146,1,810,345
147,1,806,352
148,1,802,367
149,1,798,378
150,1,795,390
151,1,1158,603
152,1,1158,603
153,1,791,438
154,1,783,446
155,1,1155,603
156,1,1155,603
157,1,1155,600
158,1,1151,600
159,1,1151,600
160,0,-1,-1
161,0,-1,-1
162,1,802,453
163,1,802,457
164,1,806,465
165,1,806,472
166,1,806,476
167,1,806,483
168,1,806,487
169,1,806,495
170,1,1158,607
171,0,-1,-1
172,0,-1,-1
173,0,-1,-1
174,0,-1,-1
175,0,-1,-1
176,0,-1,-1
177,0,-1,-1
178,0,-1,-1
179,0,-1,-1
