Frame,Visibility,X,Y
0,0,-1,-1
1,0,-1,-1
2,0,-1,-1
3,0,-1,-1
4,0,-1,-1
5,0,-1,-1
6,0,-1,-1
7,0,-1,-1
8,0,-1,-1
9,0,-1,-1
10,0,-1,-1
11,0,-1,-1
12,0,-1,-1
13,0,-1,-1
14,0,-1,-1
15,0,-1,-1
16,0,-1,-1
17,0,-1,-1
18,1,783,513
19,1,787,502
20,1,787,498
21,1,787,491
22,1,791,487
23,1,791,480
24,1,795,472
25,1,795,465
26,0,-1,-1
27,0,-1,-1
28,1,806,446
29,1,806,438
30,1,810,435
31,1,810,431
32,1,813,423
33,1,817,420
34,1,821,420
35,1,825,416
36,1,832,416
37,1,836,416
38,1,840,416
39,1,847,416
40,1,851,412
41,1,858,416
42,1,862,420
43,1,873,427
44,1,881,431
45,1,885,442
46,1,892,450
47,1,896,453
48,0,-1,-1
49,0,-1,-1
50,0,-1,-1
51,1,918,427
52,1,922,420
53,1,922,401
54,1,926,390
55,1,926,375
56,1,926,363
57,1,926,352
58,1,926,341
59,1,926,333
60,1,926,330
61,1,926,322
62,1,930,315
63,1,933,311
64,1,930,307
65,1,930,307
66,1,926,307
67,1,926,307
68,1,926,307
69,1,922,311
70,1,922,315
71,1,922,318
72,1,930,322
73,1,930,330
74,1,930,337
75,1,930,345
76,1,930,356
77,1,930,363
78,1,930,375
79,1,930,386
80,1,930,397
81,1,926,408
82,1,930,420
83,1,930,431
84,0,-1,-1
85,1,922,461
86,1,922,480
87,1,922,502
88,1,926,521
89,0,-1,-1
90,0,-1,-1
91,1,903,506
92,0,-1,-1
93,0,-1,-1
94,0,-1,-1
95,1,918,543
96,1,825,453
97,1,813,450
98,1,806,446
99,0,-1,-1
100,1,918,596
101,1,918,600
102,0,-1,-1
103,0,-1,-1
104,1,731,438
105,1,720,438
106,1,708,438
107,1,701,442
108,1,690,446
109,1,678,446
110,1,671,453
111,1,660,465
112,1,652,468
113,1,637,480
114,1,663,491
115,1,667,495
116,0,-1,-1
117,0,-1,-1
118,1,723,502
119,0,-1,-1
120,0,-1,-1
121,0,-1,-1
122,0,-1,-1
123,0,-1,-1
124,0,-1,-1
125,0,-1,-1
126,1,1196,521
127,1,828,517
128,1,832,521
129,1,1222,476
130,1,1222,476
131,1,851,540
132,1,858,543
133,0,-1,-1
134,0,-1,-1
135,0,-1,-1
136,0,-1,-1
137,0,-1,-1
138,0,-1,-1
139,0,-1,-1
140,0,-1,-1
141,0,-1,-1
142,0,-1,-1
143,0,-1,-1
144,0,-1,-1
145,0,-1,-1
146,0,-1,-1
147,0,-1,-1
148,0,-1,-1
149,0,-1,-1
150,1,888,502
151,1,885,498
152,0,-1,-1
153,0,-1,-1
154,1,881,472
155,1,877,468
156,1,873,461
157,1,870,453
158,1,866,450
159,1,862,442
160,1,858,438
161,1,855,435
162,1,855,435
163,1,855,435
164,1,851,431
165,1,847,431
166,1,843,427
167,1,836,431
168,1,828,431
169,1,828,435
170,0,-1,-1
171,0,-1,-1
172,1,821,442
173,1,817,446
174,1,813,450
175,1,810,457
176,1,806,465
177,1,802,472
178,1,798,483
179,0,-1,-1
180,1,787,498
181,0,-1,-1
182,0,-1,-1
183,1,780,525
184,1,776,536
185,1,772,547
186,1,772,551
187,0,-1,-1
188,0,-1,-1
189,0,-1,-1
190,0,-1,-1
191,0,-1,-1
192,0,-1,-1
193,1,813,498
194,1,817,498
195,0,-1,-1
196,1,836,472
197,0,-1,-1
198,0,-1,-1
199,0,-1,-1
200,0,-1,-1
201,1,877,420
202,1,881,416
203,1,888,408
204,1,896,405
205,1,903,401
206,1,911,397
207,0,-1,-1
208,0,-1,-1
209,1,930,390
210,1,937,390
211,1,945,390
212,1,952,390
213,1,956,390
214,1,963,390
215,1,971,393
216,1,978,397
217,1,982,401
218,1,990,405
219,1,993,408
220,1,997,412
221,1,1005,420
222,1,1012,427
223,1,1020,435
224,1,1023,442
225,1,1031,450
226,1,1035,457
227,1,1038,468
228,1,1046,480
229,1,1050,487
230,1,1053,495
231,1,1057,506
232,1,1057,510
233,1,1068,525
234,1,1076,547
235,1,1072,547
236,1,1072,543
237,1,1068,528
238,1,1065,525
239,1,1061,513
240,1,1057,502
241,1,1053,498
242,1,1050,491
243,1,1050,483
244,1,1042,476
245,1,1038,472
246,1,1035,465
247,1,1027,461
248,1,1023,461
249,1,1016,457
250,1,1008,453
251,1,1001,453
252,1,1001,457
253,1,997,457
254,1,990,457
255,1,986,457
256,1,978,461
257,1,975,461
258,1,967,468
259,1,960,472
